sku_id,name,brand,asin,bestbuy_sku,street_price_usd,street_price_source,street_price_as_of,anc,anc_source,anc_as_of,anc_quality_cite_url,anc_quality_note,battery_hours,battery_hours_source,battery_hours_as_of,weight_g,weight_g_source,weight_g_as_of,bluetooth,bluetooth_source,bluetooth_as_of,wired_3_5mm,wired_3_5mm_source,wired_3_5mm_as_of,call_mic,call_mic_source,call_mic_as_of,warranty_years,warranty_years_source,warranty_years_as_of,foldable,foldable_source,foldable_as_of
soundcore-life-q30,soundcore Life Q30,Soundcore,B08HMWZ12K,,79.99,https://www.soundcore.com/products/a3028011,2026-09-21,true,https://www.soundcore.com/products/a3028011,2026-09-21,https://www.rtings.com/headphones/reviews/anker/soundcore-life-q30-wireless,,40,https://www.soundcore.com/products/a3028011,2026-09-21,260,https://www.soundcore.com/products/a3028011,2026-09-21,true,https://www.soundcore.com/products/a3028011,2026-09-21,true,https://www.soundcore.com/products/a3028011,2026-09-21,true,https://www.soundcore.com/products/a3028011,2026-09-21,1.5,https://www.anker.com/ca/soundcore-refund-policy,2026-09-21,true,https://www.soundcore.com/products/a3028011,2026-09-21
soundcore-space-one,soundcore Space One,Soundcore,B0C6KFZC9Z,6545162,99.99,https://www.soundcore.com/products/space-one-a3035011,2026-09-21,true,https://www.soundcore.com/products/space-one-a3035011,2026-09-21,https://www.rtings.com/headphones/reviews/anker/soundcore-space-one-wireless,,40,https://www.soundcore.com/products/space-one-a3035011,2026-09-21,265,https://www.soundcore.com/products/space-one-a3035011,2026-09-21,true,https://www.soundcore.com/products/space-one-a3035011,2026-09-21,true,https://www.soundcore.com/products/space-one-a3035011,2026-09-21,true,https://www.soundcore.com/products/space-one-a3035011,2026-09-21,1.5,https://www.anker.com/ca/soundcore-refund-policy,2026-09-21,true,https://www.soundcore.com/products/space-one-a3035011,2026-09-21
jbl-live-770nc,JBL Live 770NC,JBL,,6572447,149.99,https://www.bestbuy.com/site/jbl-live-770nc-wireless-over-ear-headphones-with-true-adaptive-noise-cancelling-black/6572447.p?skuId=6572447,2026-09-21,true,https://support.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1c452da9/pdfs/JBL%20LIVE%20770NC_Specsheet_EN.pdf,2026-09-21,https://www.rtings.com/headphones/reviews/jbl/live-770nc-wireless,,50,https://support.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1c452da9/pdfs/JBL%20LIVE%20770NC_Specsheet_EN.pdf,2026-09-21,256,https://support.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1c452da9/pdfs/JBL%20LIVE%20770NC_Specsheet_EN.pdf,2026-09-21,true,https://support.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1c452da9/pdfs/JBL%20LIVE%20770NC_Specsheet_EN.pdf,2026-09-21,true,https://support.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1c452da9/pdfs/JBL%20LIVE%20770NC_Specsheet_EN.pdf,2026-09-21,true,https://support.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1c452da9/pdfs/JBL%20LIVE%20770NC_Specsheet_EN.pdf,2026-09-21,1,https://www.jbl.com/on/demandware.static/-/Library-Sites-SharedLibrary-JB/default/dwde9ae716/glp/warrantyandsafetybooks/images/TR04082_JBL_Global_Warranty_card_K_V15_EN.pdf,2026-09-21,true,https://www.jbl.com/LIVE770NC.html?dwvar_LIVE770NC_color=Black-AM-Current,2026-09-21
soundcore-space-q45,soundcore Space Q45,Soundcore,B0B5VHRX7F,,149.99,https://www.newegg.com/soundcore-q45-headphone-black/p/0TH-06BS-00093,2026-09-21,true,https://www.soundcore.com/products/space-q45-a3040011,2026-09-21,https://www.rtings.com/headphones/reviews/anker/soundcore-space-q45-wireless,,50,https://www.soundcore.com/products/space-q45-a3040011,2026-09-21,292,https://www.soundcore.com/products/space-q45-a3040011,2026-09-21,true,https://www.soundcore.com/products/space-q45-a3040011,2026-09-21,true,https://www.soundcore.com/products/space-q45-a3040011,2026-09-21,true,https://www.soundcore.com/products/space-q45-a3040011,2026-09-21,1.5,https://www.anker.com/ca/soundcore-refund-policy,2026-09-21,true,https://www.soundcore.com/products/space-q45-a3040011,2026-09-21
sony-wh-ch720n,Sony WH-CH720N,Sony,B0BS1QCFHX,12246008,179.99,https://electronics.sony.com/audio/headphones/headband/p/whch720n-b,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-ch720n/specifications,2026-09-21,,,35,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-ch720n/specifications,2026-09-21,193,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-ch720n/specifications,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-ch720n/specifications,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-ch720n/specifications,2026-09-21,true,https://electronics.sony.com/audio/headphones/headband/p/whch720n-b,2026-09-21,1,https://www.sony.com/electronics/support/articles/00264235,2026-09-21,false,https://www.bestbuy.com/site/reviews/sony-whch720n-wireless-noise-cancelling-headphones-black/12246008,2026-09-21
sony-wh-1000xm4,Sony WH-1000XM4,Sony,B0863TXGM3,6428314,249.99,https://www.bestbuy.com/site/sony-wh1000xm4-wireless-noise-cancelling-over-the-ear-headphones-midnight-blue/6428314.p?skuId=6428314,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-1000xm4/specifications,2026-09-21,https://www.rtings.com/headphones/reviews/sony/wh-1000xm4-wireless,,30,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-1000xm4/specifications,2026-09-21,254,https://content.abt.com/documents/109998/WH1000XM4B_specs.pdf,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-1000xm4/specifications,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-1000xm4/specifications,2026-09-21,true,https://electronics.sony.com/audio/headphones/headband/p/wh1000xm4-b,2026-09-21,1,https://www.sony.com/electronics/support/articles/00264235,2026-09-21,true,https://electronics.sony.com/audio/headphones/headband/p/wh1000xm4-b,2026-09-21
jbl-tour-one-m2,JBL Tour One M2,JBL,,6582670,249.99,https://www.bestbuy.com/site/jbl-tour-one-m2-true-adaptive-noise-cancelling-headphones-black/6582670.p?skuId=6582670,2026-09-21,true,https://www.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw8ba2ee94/pdfs/JBL_Tour_One_M2_Specsheet_EN.pdf,2026-09-21,,,30,https://www.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw8ba2ee94/pdfs/JBL_Tour_One_M2_Specsheet_EN.pdf,2026-09-21,278,https://www.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw8ba2ee94/pdfs/JBL_Tour_One_M2_Specsheet_EN.pdf,2026-09-21,true,https://www.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw8ba2ee94/pdfs/JBL_Tour_One_M2_Specsheet_EN.pdf,2026-09-21,true,https://www.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw8ba2ee94/pdfs/JBL_Tour_One_M2_Specsheet_EN.pdf,2026-09-21,true,https://www.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw8ba2ee94/pdfs/JBL_Tour_One_M2_Specsheet_EN.pdf,2026-09-21,1,https://www.jbl.com/on/demandware.static/-/Library-Sites-SharedLibrary-JB/default/dwde9ae716/glp/warrantyandsafetybooks/images/TR04082_JBL_Global_Warranty_card_K_V15_EN.pdf,2026-09-21,true,https://global.jbl.com/over-ear-headphones/TOUR-ONE-M2.html,2026-09-21
sennheiser-momentum-4,Sennheiser MOMENTUM 4 Wireless,Sennheiser,B0B6GHW1SX,6570494,299.95,https://us.sennheiser-hearing.com/products/momentum-4-wireless,2026-09-21,true,https://us.sennheiser-hearing.com/products/momentum-4-wireless,2026-09-21,https://www.rtings.com/headphones/tools/compare/sennheiser-momentum-4-wireless-vs-anker-soundcore-space-one-pro/34033/74260,,60,https://us.sennheiser-hearing.com/products/momentum-4-wireless,2026-09-21,293,https://cdn.sennheiser-cloud.com/help/products/m4/en/manual/MOMENTUM-4_Manual_EN/topic_MOMENTUM-4_Manual_EN34.htm,2026-09-21,true,https://us.sennheiser-hearing.com/products/momentum-4-wireless,2026-09-21,true,https://us.sennheiser-hearing.com/products/momentum-4-wireless,2026-09-21,true,https://us.sennheiser-hearing.com/products/momentum-4-wireless,2026-09-21,1,https://us.sennheiser-hearing.com/products/momentum-4-wireless,2026-09-21,false,https://cdn.sennheiser-cloud.com/help/products/m4/en/manual/MOMENTUM-4_Manual_EN/topic_MOMENTUM-4_Manual_EN34.htm,2026-09-21
sony-wh-1000xm5,Sony WH-1000XM5,Sony,B09XS7JWHH,10851333,299.99,https://electronics.sony.com/audio/headphones/headband/p/wh1000xm5-s,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-1000xm5/specifications,2026-09-21,https://www.rtings.com/headphones/reviews/sony/wh-1000xm5-wireless,,30,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-1000xm5/specifications,2026-09-21,250,https://www.sony.co.uk/electronics/headband-headphones/wh-1000xm5/specifications,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-1000xm5/specifications,2026-09-21,true,https://www.sony.com/electronics/support/wireless-headphones-bluetooth-headphones/wh-1000xm5/specifications,2026-09-21,true,https://electronics.sony.com/audio/headphones/headband/p/wh1000xm5-s,2026-09-21,1,https://www.sony.com/electronics/support/articles/00264235,2026-09-21,false,https://electronics.sony.com/audio/headphones/headband/p/wh1000xm5-s,2026-09-21
bose-quietcomfort-headphones,Bose QuietComfort Headphones,Bose,,6554461,359.00,https://www.bose.com/p/headphones/quietcomfort-acoustic-noise-cancelling-headphones/QC-HEADPHONEARN-MSBL-WW.html,2026-09-21,true,https://www.bose.com/p/headphones/quietcomfort-acoustic-noise-cancelling-headphones/QC-HEADPHONEARN-MSBL-WW.html,2026-09-21,https://www.rtings.com/headphones/tools/compare/bose-quietcomfort-headphones-wireless-vs-bose-quietcomfort-ultra-headphones-2nd-gen/44666/112689,,24,https://www.bose.com/p/headphones/quietcomfort-acoustic-noise-cancelling-headphones/QC-HEADPHONEARN-MSBL-WW.html,2026-09-21,236,https://www.bose.com/p/headphones/quietcomfort-acoustic-noise-cancelling-headphones/QC-HEADPHONEARN-MSBL-WW.html,2026-09-21,true,https://www.bose.com/p/headphones/quietcomfort-acoustic-noise-cancelling-headphones/QC-HEADPHONEARN-MSBL-WW.html,2026-09-21,true,https://www.bose.com/p/headphones/quietcomfort-acoustic-noise-cancelling-headphones/QC-HEADPHONEARN-MSBL-WW.html,2026-09-21,true,https://www.bose.com/p/headphones/quietcomfort-acoustic-noise-cancelling-headphones/QC-HEADPHONEARN-MSBL-WW.html,2026-09-21,1,https://assets.bosecreative.com/m/24173b57dad60c74/original/US_WARRANTY_EN.pdf,2026-09-21,true,https://www.bose.com/p/headphones/quietcomfort-acoustic-noise-cancelling-headphones/QC-HEADPHONEARN-MSBL-WW.html,2026-09-21
